dataset,sample,scope_delta_us,isr_delta_us,mapping_delta_us
"helix-preempt-rt-r2",15,-7.375,-1.792,-5.583
"helix-preempt-rt-r2",16,-8.25,-1.792,-6.458
"helix-preempt-rt-r2",17,-8.958333333333334,-1.7449999999999999,-7.213333333333334
"helix-preempt-rt-r2",18,1.2083333333333333,-1.7449999999999999,2.953333333333333
"helix-preempt-rt-r2",19,2.5833333333333335,-1.792,4.375333333333334
"helix-preempt-rt-r2",20,3.208333333333333,-1.7449999999999999,4.953333333333333
"klipper-legacy-preempt-rt-r1",1,6.791666666666666,-1.792,8.583666666666666
"klipper-legacy-preempt-rt-r1",2,6.958333333333333,-1.7449999999999999,8.703333333333333
"klipper-legacy-preempt-rt-r1",3,-1.2083333333333333,-1.7449999999999999,0.5366666666666666
"klipper-legacy-preempt-rt-r1",4,-2.458333333333333,-1.792,-0.666333333333333
"klipper-legacy-preempt-rt-r1",5,-5.041666666666667,-1.7449999999999999,-3.296666666666667
"klipper-legacy-preempt-rt-r1",6,-5.458333333333333,-1.792,-3.666333333333333
"klipper-legacy-preempt-rt-r1",7,-5.666666666666667,-1.7449999999999999,-3.921666666666667
"klipper-legacy-preempt-rt-r1",8,-5.125,-1.7449999999999999,-3.38
"klipper-legacy-preempt-rt-r1",9,-5.416666666666667,-1.792,-3.624666666666667
"klipper-legacy-preempt-rt-r1",10,-5.541666666666666,-1.7449999999999999,-3.796666666666666
"klipper-legacy-preempt-rt-r1",11,-5.708333333333333,-1.792,-3.916333333333333
"klipper-legacy-preempt-rt-r1",12,-5.791666666666667,-1.7449999999999999,-4.046666666666667
"klipper-legacy-preempt-rt-r1",13,-5.208333333333333,-1.7449999999999999,-3.463333333333333
"klipper-legacy-preempt-rt-r1",14,-3.75,-1.761,-1.989
"klipper-legacy-preempt-rt-r1",15,-3.625,-1.7449999999999999,-1.8800000000000001
"klipper-legacy-preempt-rt-r1",16,-3.625,-1.792,-1.833
"klipper-legacy-preempt-rt-r1",17,-3.4583333333333335,-1.7449999999999999,-1.7133333333333336
"klipper-legacy-preempt-rt-r1",18,-3.5833333333333335,-1.792,-1.7913333333333334
"klipper-legacy-preempt-rt-r1",19,-3.416666666666667,-1.7449999999999999,-1.671666666666667
"klipper-legacy-preempt-rt-r1",20,-2.9166666666666665,-1.792,-1.1246666666666665
"klipper-legacy-preempt-rt-r1",21,-2.458333333333333,-1.792,-0.666333333333333
"klipper-legacy-preempt-rt-r1",22,-2.9166666666666665,-1.792,-1.1246666666666665
"klipper-legacy-preempt-rt-r1",23,-4.333333333333333,-1.792,-2.541333333333333
"klipper-legacy-preempt-rt-r1",24,-4.791666666666667,-1.7449999999999999,-3.046666666666667
"klipper-legacy-preempt-rt-r1",25,-5.166666666666667,-1.792,-3.374666666666667
"klipper-legacy-preempt-rt-r1",26,-5.541666666666666,-1.792,-3.7496666666666663
"klipper-legacy-preempt-rt-r1",27,-6.041666666666667,-1.792,-4.249666666666667
"klipper-legacy-preempt-rt-r1",28,-6.083333333333333,-1.7449999999999999,-4.338333333333333
"klipper-legacy-preempt-rt-r1",29,-6.125,-1.792,-4.333
"klipper-legacy-preempt-rt-r1",30,-5.916666666666667,-1.7449999999999999,-4.171666666666667
