elapsed_s,temperature_c,target_c,power,controller_state,controller_algorithm,control_mode,fault,mcu_samples,mcu_temperature_c,mcu_temperature_estimate_c,mcu_temperature_valid,loop_clock,loop_clock_frequency,loop_clock_source,loop_dt_count,loop_dt_mean_s,loop_dt_stddev_s,loop_dt_min_s,loop_dt_max_s,thermal_model_source,thermal_model_gain,thermal_model_tau_s,thermal_model_delay_s,thermal_model_horizon_s,thermal_control_band_c,host_predictive_output,host_predictive_bias,host_predictive_filtered_temperature_c,host_predictive_ambient_c,host_predictive_approach_active,host_predictive_approach_blend
25.061293726001168,64.2,75.0,1.0,host,predictive,host,0,153,,65.138,False,18123.606399605,1.0,host,152,0.29999295476315985,0.0002062007090973476,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
25.562767711999186,64.35,75.0,1.0,host,predictive,host,0,154,,65.138,False,18123.906410916,1.0,host,153,0.29999307473855913,0.00020553106851016928,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
26.063774351001484,64.66,75.0,1.0,host,predictive,host,0,156,,65.521,False,18124.506358929,1.0,host,155,0.29999282869677946,0.0002043574225176397,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
26.56519833100174,64.94,75.0,1.0,host,predictive,host,0,158,,65.521,False,18125.106337612,1.0,host,157,0.2999927842738892,0.00020316682266872425,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
27.066285003002122,65.1,75.0,1.0,host,predictive,host,0,159,,66.044,False,18125.406368191,1.0,host,158,0.299993023481023,0.00020254504703611612,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
27.566710020000755,65.38,75.0,1.0,host,predictive,host,0,161,,66.044,False,18126.006297713,1.0,host,160,0.29999267020000403,0.00020133314534479703,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
28.06778537699938,65.66,75.0,1.0,host,predictive,host,0,163,,66.393,False,18126.606327755,1.0,host,162,0.2999929461357957,0.00020015872430384594,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
28.568450542999926,65.8,75.0,1.0,host,predictive,host,0,164,,66.393,False,18126.906263349,1.0,host,163,0.299992594282208,0.0001995940435817807,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
29.06953631000215,66.08,75.0,1.0,host,predictive,host,0,166,,66.741,False,18127.506212603,1.0,host,165,0.29999237649696614,0.00019859626756364696,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
29.571070904999942,66.36,75.0,1.0,host,predictive,host,0,168,,66.741,False,18128.106226771,1.0,host,167,0.29999255263473606,0.00019742962890077897,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
30.07208356400224,66.48,75.0,1.0,host,predictive,host,0,169,,67.194,False,18128.406125373,1.0,host,168,0.29999199340476324,0.00019697378253943904,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
30.5733541289992,66.74,75.0,1.0,host,predictive,host,0,171,,67.194,False,18129.00616199,1.0,host,170,0.299992302994125,0.00019584306668386258,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
31.074411572000827,66.99,75.0,1.0,host,predictive,host,0,173,,67.577,False,18129.606075078,1.0,host,172,0.299991887191873,0.00019474993296265868,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
31.575143306999962,67.13,75.0,1.0,host,predictive,host,0,174,,67.577,False,18129.906217754,1.0,host,173,0.29999275880347115,0.0001945224193773155,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
32.07621194800231,67.38,75.0,1.0,host,predictive,host,0,176,,67.891,False,18130.506137994,1.0,host,175,0.29999238578858384,0.00019351718672238453,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
32.57690814500165,67.63,75.0,1.0,host,predictive,host,0,178,,67.891,False,18131.106115252,1.0,host,177,0.2999923433389945,0.00019247664453242178,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
33.078255307998916,67.75,75.0,1.0,host,predictive,host,0,179,,68.344,False,18131.40617379,1.0,host,178,0.29999271521911014,0.00019199897449431865,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
33.580106836001505,68.01,75.0,1.0,host,predictive,host,0,181,,68.344,False,18132.00608684,1.0,host,180,0.2999923131055566,0.00019137512117144782,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
34.08114828299949,68.24,75.0,1.0,host,predictive,host,0,183,,68.693,False,18132.606066753,1.0,host,182,0.29999228720879456,0.00019032249179755885,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
34.582400387000234,68.38,75.0,1.0,host,predictive,host,0,184,,68.693,False,18132.906101501,1.0,host,183,0.29999251923498177,0.00018982758250749804,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
35.083470906,68.61,75.0,1.0,host,predictive,host,0,186,,69.006,False,18133.506053361,1.0,host,185,0.29999233989190166,0.00018882581865936057,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
35.58450053400156,68.84,75.0,1.0,host,predictive,host,0,188,,69.006,False,18134.106068485,1.0,host,187,0.2999925026951995,0.00018806510904889576,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
36.085638519001805,68.95,75.0,1.0,host,predictive,host,0,189,,69.424,False,18134.405997732,1.0,host,188,0.2999921662287231,0.00018762069505496613,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
36.586432858999615,69.18,75.0,1.0,host,predictive,host,0,191,,69.424,False,18135.005989255,1.0,host,190,0.29999220407369576,0.00018665491671087734,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
37.08774514700053,69.4,75.0,1.0,host,predictive,host,0,193,,69.738,False,18135.606009428,1.0,host,192,0.29999239034896186,0.00018569190894586452,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
